Match Number,Round Number,Date,Location,Home Team,Away Team,Result
245,28,07/04/2025 20:45,Estádio José Alvalade,Sporting CP,SC Braga,1 - 1
255,29,11/04/2025 20:15,Estádio Cidade de Barcelos,Gil Vicente FC,Vitória SC,0 - 1
256,29,12/04/2025 15:30,Estádio Municipal de Famalicão,FC Famalicão,Estoril Praia,3 - 0
258,29,12/04/2025 15:30,Estádio do Bessa Sec. XXI,Boavista FC,CD Nacional,0 - 1
253,29,12/04/2025 18:00,Estádio de São Miguel,Santa Clara,Sporting CP,0 - 1
259,29,12/04/2025 20:30,Estádio Municipal de Rio Maior,Casa Pia AC,FC Porto,0 - 1
260,29,13/04/2025 15:30,Estádio José Gomes,Estrela Amadora,SC Farense,0 - 1
254,29,13/04/2025 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,FC Arouca,2 - 2
257,29,13/04/2025 18:00,Estádio Municipal de Braga,SC Braga,AFS,4 - 1
261,29,13/04/2025 20:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Rio Ave FC,0 - 2
264,30,18/04/2025 15:30,Estádio de São Luís,SC Farense,Boavista FC,0 - 1
268,30,18/04/2025 15:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Santa Clara,1 - 1
267,30,18/04/2025 18:00,Estádio do Dragão,FC Porto,FC Famalicão,2 - 1
266,30,18/04/2025 20:30,Estádio José Alvalade,Sporting CP,Moreirense FC,3 - 1
265,30,19/04/2025 15:30,Estádio da Madeira,CD Nacional,Gil Vicente FC,0 - 3
270,30,19/04/2025 15:30,Estádio do Clube Desportivo das Aves,AFS,Casa Pia AC,1 - 1
263,30,19/04/2025 18:00,Estádio António Coimbra da Mota,Estoril Praia,SC Braga,0 - 2
269,30,19/04/2025 18:30,Estádio Municipal de Arouca,FC Arouca,Estrela Amadora,1 - 0
262,30,19/04/2025 20:30,Estádio D. Afonso Henriques,Vitória SC,SL Benfica,0 - 3
272,31,25/04/2025 20:30,Estádio Municipal de Famalicão,FC Famalicão,SC Braga,1 - 1
271,31,26/04/2025 15:30,Estádio de São Miguel,Santa Clara,FC Arouca,2 - 0
273,31,26/04/2025 18:00,Estádio Cidade de Barcelos,Gil Vicente FC,SC Farense,1 - 0
278,31,26/04/2025 20:30,Estádio José Gomes,Estrela Amadora,FC Porto,2 - 0
279,31,27/04/2025 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,CD Nacional,1 - 1
274,31,27/04/2025 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,AFS,6 - 0
275,31,27/04/2025 18:00,Estádio D. Afonso Henriques,Vitória SC,Rio Ave FC,3 - 0
276,31,27/04/2025 20:30,Estádio do Bessa Sec. XXI,Boavista FC,Sporting CP,0 - 5
277,31,29/04/2025 20:30,Estádio Municipal de Rio Maior,Casa Pia AC,Estoril Praia,1 - 3
284,32,02/05/2025 20:15,Estádio do Dragão,FC Porto,Moreirense FC,3 - 1
281,32,03/05/2025 15:30,Estádio da Madeira,CD Nacional,Vitória SC,1 - 2
285,32,03/05/2025 15:30,Estádio de São Luís,SC Farense,FC Famalicão,2 - 1
286,32,03/05/2025 18:00,Estádio Municipal de Braga,SC Braga,Santa Clara,1 - 1
280,32,03/05/2025 20:30,Estádio António Coimbra da Mota,Estoril Praia,SL Benfica,1 - 2
287,32,04/05/2025 20:00,Estádio Municipal de Arouca,FC Arouca,Casa Pia AC,0 - 0
282,32,04/05/2025 20:30,Estádio José Alvalade,Sporting CP,Gil Vicente FC,2 - 1
283,32,05/05/2025 19:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Estrela Amadora,2 - 0
288,32,05/05/2025 20:15,Estádio do Clube Desportivo das Aves,AFS,Boavista FC,1 - 2
289,33,10/05/2025 15:30,Estádio de São Miguel,Santa Clara,FC Famalicão,2 - 1
297,33,10/05/2025 15:30,Estádio da Madeira,CD Nacional,Rio Ave FC,3 - 3
295,33,10/05/2025 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Sporting CP,1 - 1
290,33,10/05/2025 20:30,Estádio Municipal de Rio Maior,Casa Pia AC,SC Braga,2 - 1
291,33,10/05/2025 20:30,Estádio Cidade de Barcelos,Gil Vicente FC,FC Arouca,1 - 1
294,33,11/05/2025 15:30,Estádio José Gomes,Estrela Amadora,AFS,0 - 1
292,33,11/05/2025 18:00,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Estoril Praia,2 - 2
293,33,11/05/2025 18:00,Estádio D. Afonso Henriques,Vitória SC,SC Farense,1 - 2
296,33,11/05/2025 20:30,Estádio do Bessa Sec. XXI,Boavista FC,FC Porto,1 - 2
300,34,16/05/2025 19:00,Estádio Municipal de Famalicão,FC Famalicão,Casa Pia AC,2 - 1
301,34,16/05/2025 19:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Gil Vicente FC,1 - 1
298,34,17/05/2025 18:00,Estádio Municipal de Braga,SC Braga,SL Benfica,1 - 1
299,34,17/05/2025 18:00,Estádio José Alvalade,Sporting CP,Vitória SC,2 - 0
302,34,17/05/2025 18:00,Estádio António Coimbra da Mota,Estoril Praia,Estrela Amadora,4 - 0
303,34,17/05/2025 18:00,Estádio do Dragão,FC Porto,CD Nacional,3 - 0
304,34,17/05/2025 18:00,Estádio de São Luís,SC Farense,Santa Clara,1 - 2
305,34,17/05/2025 18:00,Estádio Municipal de Arouca,FC Arouca,Boavista FC,4 - 1
306,34,17/05/2025 18:00,Estádio do Clube Desportivo das Aves,AFS,Moreirense FC,0 - 3
